TS|CH0|CH1|CH2
8300|3.905|0.000|0.601
8310|3.908|0.000|0.640
8320|3.867|0.000|0.777
8330|3.906|0.000|0.860
8340|3.905|0.000|0.855
8350|3.872|0.000|0.933
8360|3.877|0.000|0.938
8370|3.877|0.000|1.016
8380|3.884|0.000|1.114
8390|3.886|0.000|1.070
8400|3.904|0.000|1.231
8410|3.902|0.000|1.207
8420|3.886|0.000|1.285
8430|3.906|0.000|1.285
8440|3.902|0.000|1.417
8450|3.896|0.000|1.466
8460|3.877|0.000|1.519
8470|3.886|0.000|1.519
8480|3.901|0.000|1.641
8490|3.885|0.000|1.676
8500|3.897|0.000|1.637
8510|3.904|0.000|1.798
8520|3.877|0.000|1.871
8530|3.889|0.000|-3.894
8540|3.868|0.000|-3.845
8550|3.897|0.000|-3.742
8560|3.907|0.000|-3.727
8570|3.897|0.000|-3.625
8580|3.882|0.000|-3.586
8590|3.906|0.000|-3.576
8600|3.886|0.000|-3.517
8610|3.896|0.000|-3.561
8620|3.884|0.000|-3.400
8630|3.906|0.000|-3.239
8640|3.902|0.000|-3.327
8650|3.872|0.000|-3.200
8660|3.867|0.000|-3.180
8670|3.886|0.000|-3.200
8680|3.891|0.000|-3.068
8690|3.867|0.000|-3.019
8700|3.904|0.000|-2.926
8710|3.888|0.000|-2.926
8720|3.872|0.000|-2.882
8730|3.906|0.000|-2.789
8740|3.867|0.000|-2.731
8750|3.900|0.000|-2.741
8760|3.867|0.000|-2.672
8770|3.883|0.000|-2.540
8780|3.874|0.000|-2.574
8790|3.886|0.000|-2.516
8800|3.897|0.000|-2.447
8810|3.888|0.000|-2.477
8820|3.905|0.000|-2.413
8830|3.906|0.000|-2.360
8840|3.877|0.000|-2.316
8850|3.882|0.000|-2.189
8860|3.867|0.000|-2.184
8870|3.877|0.000|-2.101
8880|3.888|0.000|-2.047
8890|3.885|0.000|-2.018
8900|3.897|0.000|-1.895
8910|3.877|0.000|-1.930
8920|3.872|0.000|-1.832
